Source Name	Characteristics [Organism]	Term Source REF	Characteristics [StrainOrLine]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Term Source REF	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Factor Value [StrainOrLine]	Factor Value [compound]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Compound]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
ABRC-CS57624 1	Arabidopsis thaliana	ncbitax	CS57624	P-TABM-hans18	ABRC-CS57624 1	P-TABM-103	ABRC-CS57624 1	total_RNA	P-TABM-hans19	ABRC-CS57624 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R281	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57624	0.02% Silwet	28	h	  	R281	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57834 1	Arabidopsis thaliana	ncbitax	CS57834	P-TABM-hans18	ABRC-CS57834 1	P-TABM-103	ABRC-CS57834 1	total_RNA	P-TABM-hans19	ABRC-CS57834 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R299	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57834	0.02% Silwet	28	h	  	R299	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57756 2	Arabidopsis thaliana	ncbitax	CS57756	P-TABM-826	ABRC-CS57756 2	P-TABM-103	ABRC-CS57756 2	total_RNA	P-TABM-hans19	ABRC-CS57756 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R1283	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57756	  	28	h	0.02% Silwet	R1283.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57801 2	Arabidopsis thaliana	ncbitax	CS57801	P-TABM-hans18	ABRC-CS57801 2	P-TABM-103	ABRC-CS57801 2	total_RNA	P-TABM-hans19	ABRC-CS57801 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R456	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57801	0.02% Silwet	28	h	  	R456	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57698 1	Arabidopsis thaliana	ncbitax	CS57698	P-TABM-826	ABRC-CS57698 1	P-TABM-103	ABRC-CS57698 1	total_RNA	P-TABM-hans19	ABRC-CS57698 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R865	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57698	  	28	h	0.02% Silwet	R865.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57512 2	Arabidopsis thaliana	ncbitax	CS57512	P-TABM-hans18	ABRC-CS57512 2	P-TABM-103	ABRC-CS57512 2	total_RNA	P-TABM-hans19	ABRC-CS57512 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R687	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57512	0.02% Silwet	28	h	  	R687	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57626 2	Arabidopsis thaliana	ncbitax	CS57626	P-TABM-hans18	ABRC-CS57626 2	P-TABM-103	ABRC-CS57626 2	total_RNA	P-TABM-hans19	ABRC-CS57626 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R610	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57626	0.02% Silwet	28	h	  	R610	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57904 2	Arabidopsis thaliana	ncbitax	CS57904	P-TABM-hans18	ABRC-CS57904 2	P-TABM-103	ABRC-CS57904 2	total_RNA	P-TABM-hans19	ABRC-CS57904 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R479	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57904	0.02% Silwet	28	h	  	R479	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57674 2	Arabidopsis thaliana	ncbitax	CS57674	P-TABM-826	ABRC-CS57674 2	P-TABM-103	ABRC-CS57674 2	total_RNA	P-TABM-hans19	ABRC-CS57674 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R1496	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57674	  	28	h	0.02% Silwet	R1496.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57671 1	Arabidopsis thaliana	ncbitax	CS57671	P-TABM-hans18	ABRC-CS57671 1	P-TABM-103	ABRC-CS57671 1	total_RNA	P-TABM-hans19	ABRC-CS57671 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R90	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57671	0.02% Silwet	28	h	  	R90	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57644 1	Arabidopsis thaliana	ncbitax	CS57644	P-TABM-hans18	ABRC-CS57644 1	P-TABM-103	ABRC-CS57644 1	total_RNA	P-TABM-hans19	ABRC-CS57644 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R257	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57644	0.02% Silwet	28	h	  	R257	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57570 2	Arabidopsis thaliana	ncbitax	CS57570	P-TABM-hans18	ABRC-CS57570 2	P-TABM-103	ABRC-CS57570 2	total_RNA	P-TABM-hans19	ABRC-CS57570 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R651	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57570	0.02% Silwet	28	h	  	R651	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57605 1	Arabidopsis thaliana	ncbitax	CS57605	P-TABM-hans18	ABRC-CS57605 1	P-TABM-103	ABRC-CS57605 1	total_RNA	P-TABM-hans19	ABRC-CS57605 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R33	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57605	0.02% Silwet	28	h	  	R33	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57731 2	Arabidopsis thaliana	ncbitax	CS57731	P-TABM-hans18	ABRC-CS57731 2	P-TABM-103	ABRC-CS57731 2	total_RNA	P-TABM-hans19	ABRC-CS57731 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R649	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57731	0.02% Silwet	28	h	  	R649	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57756 1	Arabidopsis thaliana	ncbitax	CS57756	P-TABM-826	ABRC-CS57756 1	P-TABM-103	ABRC-CS57756 1	total_RNA	P-TABM-hans19	ABRC-CS57756 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R1023	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57756	  	28	h	0.02% Silwet	R1023.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57820 1	Arabidopsis thaliana	ncbitax	CS57820	P-TABM-hans18	ABRC-CS57820 1	P-TABM-103	ABRC-CS57820 1	total_RNA	P-TABM-hans19	ABRC-CS57820 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R65	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57820	0.02% Silwet	28	h	  	R65	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57769 2	Arabidopsis thaliana	ncbitax	CS57769	P-TABM-hans18	ABRC-CS57769 2	P-TABM-103	ABRC-CS57769 2	total_RNA	P-TABM-hans19	ABRC-CS57769 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R655b	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57769	0.02% Silwet	28	h	  	R655b	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57683 1	Arabidopsis thaliana	ncbitax	CS57683	P-TABM-826	ABRC-CS57683 1	P-TABM-103	ABRC-CS57683 1	total_RNA	P-TABM-hans19	ABRC-CS57683 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R871	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57683	  	28	h	0.02% Silwet	R871.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57554 2	Arabidopsis thaliana	ncbitax	CS57554	P-TABM-826	ABRC-CS57554 2	P-TABM-103	ABRC-CS57554 2	total_RNA	P-TABM-hans19	ABRC-CS57554 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R1300	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57554	  	28	h	0.02% Silwet	R1300.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
ABRC-CS57727 2	Arabidopsis thaliana	ncbitax	CS57727	P-TABM-hans18	ABRC-CS57727 2	P-TABM-103	ABRC-CS57727 2	total_RNA	P-TABM-hans19	ABRC-CS57727 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	  	R650	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57727	0.02% Silwet	28	h	  	R650	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426	P-TABM-1196	E-TABM-126-processed-data-1355696613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-126/E-TABM-126.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1242548426
